time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083328,0.0000000000,0.2222222222,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.166655,0.0000000000,0.2222222222,0.1111111111,0.0000000000,0.0000000000,0.0000000000,0.2222222222,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.249983,0.1111111111,0.3333333333,0.1111111111,0.1111111111,0.1111111111,0.0000000000,0.3333333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.333311,0.1111111111,0.3333333333,0.3333333333,0.1111111111,0.1111111111,0.1111111111,0.3333333333,0.1111111111,0.1111111111,0.1111111111,0.1111111111
0.416639,0.2222222222,0.3333333333,0.3333333333,0.2222222222,0.1111111111,0.1111111111,0.4444444444,0.2222222222,0.2222222222,0.2222222222,0.1111111111
0.499966,0.2222222222,0.3333333333,0.4444444444,0.2222222222,0.2222222222,0.1111111111,0.4444444444,0.3333333333,0.3333333333,0.2222222222,0.2222222222
0.583294,0.3333333333,0.4444444444,0.4444444444,0.3333333333,0.2222222222,0.2222222222,0.4444444444,0.3333333333,0.3333333333,0.3333333333,0.2222222222
0.666622,0.4444444444,0.4444444444,0.4444444444,0.3333333333,0.2222222222,0.2222222222,0.4444444444,0.4444444444,0.4444444444,0.3333333333,0.3333333333
0.749949,0.4444444444,0.4444444444,0.5555555556,0.4444444444,0.2222222222,0.2222222222,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.3333333333
0.833277,0.5555555556,0.4444444444,0.5555555556,0.4444444444,0.3333333333,0.2222222222,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444
0.916605,0.5555555556,0.4444444444,0.6666666667,0.5555555556,0.4444444444,0.3333333333,0.5555555556,0.5555555556,0.5555555556,0.4444444444,0.4444444444
0.999933,0.5555555556,0.4444444444,0.6666666667,0.5555555556,0.5555555556,0.3333333333,0.6666666667,0.5555555556,0.5555555556,0.5555555556,0.5555555556
1.083260,0.5555555556,0.4444444444,0.6666666667,0.5555555556,0.5555555556,0.3333333333,0.6666666667,0.5555555556,0.5555555556,0.5555555556,0.5555555556
1.166588,0.6666666667,0.5555555556,0.6666666667,0.6666666667,0.5555555556,0.3333333333,0.6666666667,0.5555555556,0.5555555556,0.5555555556,0.5555555556
1.249916,0.6666666667,0.5555555556,0.6666666667,0.6666666667,0.5555555556,0.3333333333,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
1.333243,0.6666666667,0.5555555556,0.6666666667,0.6666666667,0.5555555556,0.3333333333,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
1.416571,0.6666666667,0.5555555556,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
1.499899,0.6666666667,0.5555555556,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
1.583227,0.6666666667,0.5555555556,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
1.666554,0.6666666667,0.5555555556,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
1.749882,0.6666666667,0.5555555556,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
1.833210,0.6666666667,0.5555555556,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
1.916537,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
1.999865,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.083193,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.166521,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.249848,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.333176,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.416504,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.499832,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.583159,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.666487,0.6666666667,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.749815,0.6666666667,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.833142,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.916470,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2.999798,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.6666666667,0.5555555556,0.5555555556
3.083126,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.5555555556
3.166453,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.5555555556
3.249781,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.5555555556
3.333109,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.5555555556
3.416436,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.5555555556
3.499764,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.5555555556
3.583092,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.5555555556
3.666420,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.5555555556
3.749747,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.6666666667,0.5555555556
3.833075,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.6666666667,0.5555555556
3.916403,0.7777777778,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.6666666667,0.5555555556
3.999730,0.7777777778,0.7777777778,0.7777777778,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.6666666667,0.5555555556
4.083058,0.7777777778,0.7777777778,0.7777777778,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.6666666667,0.5555555556
4.166386,0.7777777778,0.7777777778,0.7777777778,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.6666666667,0.5555555556
4.249714,0.7777777778,0.7777777778,0.7777777778,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.6666666667,0.5555555556
4.333041,0.7777777778,0.7777777778,0.7777777778,0.6666666667,0.5555555556,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.6666666667,0.5555555556
