milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,116,7,123,94.31,0.4999,0.1446,0.8511,14.4822
AIR-5x,94,29,123,76.42,0.1666,0.0775,0.9303,1000000.0000
AIR-25x,120,3,123,97.56,0.5833,0.1127,1.3408,19.5222
AIR-250x,112,11,123,91.06,0.4166,0.2164,3.0534,102.9500
AIR-2000x,95,28,123,77.24,0.5833,0.2764,9.3095,1000000.0000
AIR-10000x,80,43,123,65.04,0.4166,0.3200,28.3115,1000000.0000
SAR-level-experiment-selection-skill,114,9,123,92.68,0.2500,0.1186,1.2447,21.2903
SIAR-level-experiment-selection-skill,122,1,123,99.19,0.4166,0.2356,2.6508,29.3373
STRAT-AI,122,1,123,99.19,0.4166,0.2356,2.6508,29.3373
TED-AI,117,6,123,95.12,0.3333,0.2996,3.6913,65.6773
ASI,115,8,123,93.50,0.4166,0.3199,7.2442,94.6697
