time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2025.600000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025.683325,0.5487056463,0.5157908924,0.2782139754,0.2294898053
2025.766649,0.4221532128,0.4794125830,0.3769236712,0.2843976083
2025.849974,0.3693712095,0.3723423454,0.3631103416,0.2860278279
2025.933299,0.3981478025,0.3094593548,0.3452563700,0.2861338730
2026.016623,0.5105575703,0.3130526466,0.3596793872,0.3118617885
2026.099948,0.7153376542,0.3784552053,0.4190312363,0.3795408333
2026.183273,1.0246261563,0.5012292831,0.5381872539,0.4992806912
2026.266597,1.4481620669,0.6846337424,0.7346629555,0.6771842628
2026.349922,1.9896367130,0.9365062669,1.0208199869,0.9163381197
2026.433247,2.6459076727,1.2631974624,1.3994935051,1.2168994023
2026.516571,3.4081511336,1.6653653344,1.8648764995,1.5758705979
2026.599896,4.2637331183,2.1371684679,2.4057001864,1.9872287835
2026.683221,5.1979079191,2.6681715685,3.0082523810,2.4427508736
2026.766545,6.1949426113,3.2464121904,3.6586301222,2.9334023612
2026.849870,7.2386650829,3.8611956134,4.3444132744,3.4508339045
2026.933195,8.3126461541,4.5047639827,5.0557965808,3.9884883691
2027.016519,9.4002679904,5.1726125191,5.7859967033,4.5420077055
2027.099844,10.4848652401,5.8626759814,6.5308314773,5.1089045443
2027.183168,11.5500212770,6.5738327018,7.2876248033,5.6876982053
2027.266493,12.5800090857,7.3042214051,8.0537996941,6.2768380946
2027.349818,13.5603084482,8.0498076533,8.8255795521,6.8737396117
2027.433142,14.4781112697,8.8035191836,9.5971327831,7.4741701218
2027.516467,15.3227363553,9.5551166574,10.3603266632,8.0720929926
2027.599792,16.0859009898,10.2917982372,11.1050708630,8.6599508769
2027.683116,16.7618276427,10.9993809248,11.8200884200,9.2292758784
2027.766441,17.3471918430,11.6637911558,12.4938879307,9.7714670285
2027.849766,17.8409373658,12.2725556675,13.1157270708,10.2785725968
2027.933090,18.2439960607,12.8160156424,13.6764255400,10.7439446048
2028.016415,18.5589527721,13.2880761509,14.1689637563,11.1626804495
2028.099740,18.7896927262,13.6864190054,14.5888594548,11.5318179043
2028.183064,18.9410617572,14.0122183072,14.9343366929,11.8502948465
2028.266389,19.0185608721,14.2694799648,15.2062999926,12.1187181459
2028.349714,19.0280876196,14.4641677910,15.4081191775,12.3390052580
2028.433038,18.9757286932,14.6032804027,15.5452332566,12.5139678551
2028.516363,18.8676018888,14.6940147395,15.6245989997,12.6469015539
2028.599688,18.7097412204,14.7431070663,15.6540354395,12.7412325254
2028.683012,18.5080166597,14.7563938054,15.6415379084,12.8002538937
2028.766337,18.2680793374,14.7385922465,15.5946442256,12.8269656731
2028.849662,17.9953237335,14.6932706764,15.5199270219,12.8240144966
2028.932986,17.6948599417,14.6229603902,15.4226624104,12.7937157984
2029.016311,17.3714910847,14.5293570928,15.3066934890,12.7381327554
2029.099636,17.0296929962,14.4135633568,15.1744759939,12.6591834806
2029.182960,16.6735950938,14.2763334650,15.0272696097,12.5587500706
2029.266285,16.3069627611,14.1182937796,14.8654254118,12.4387688288
2029.349610,15.9331824567,13.9401231301,14.6887176231,12.3012886484
2029.432934,15.5552511788,13.7426869652,14.4966738018,12.1484924870
2029.516259,15.1757719063,13.5271254661,14.2888682056,11.9826837446
2029.599584,14.7969563137,13.2948995379,14.0651550860,11.8062442968
2029.682908,14.4206355315,13.0478001350,13.8258297600,11.6215736168
2029.766233,14.0482791134,12.7879265418,13.5717143600,11.4310189877
2029.849558,13.6810217543,12.5176387940,13.3041720131,11.2368057437
2029.932882,13.3196967644,12.2394890077,13.0250581934,11.0409744222
2030.016207,12.9648748669,11.9561363420,12.7366215811,10.8453293062
2030.099531,12.6169065894,11.6702507245,12.4413692429,10.6514005841
2030.182856,12.2759663574,11.3844111992,12.1419123751,10.4604205950
2030.266181,11.9420963710,11.1010055220,11.8408091278,10.2733134733
2030.349505,11.6152484398,10.8221381220,11.5404200250,10.0906969304
2030.432830,11.2953221483,10.5495534800,11.2427892024,9.9128947528
2030.516155,10.9821980105,10.2845811859,10.9495612645,9.7399586760
2030.599479,10.6757646147,10.0281073902,10.6619393624,9.5716984201
2030.682804,10.3759391479,9.7805751742,10.3806855680,9.4077187190
2030.766129,10.0826810868,9.5420137663,10.1061602724,9.2474620807
2030.849453,9.7959992300,9.3120938394,9.8383936043,9.0902557786
2030.932778,9.5159526002,9.0902036780,9.5771791009,8.9353612585
2031.016103,9.2426460366,8.8755391054,9.3221782783,8.7820238260
2031.099427,8.9762215221,8.6671989527,9.0730244184,8.6295202641
2031.182752,8.7168464259,8.4642776375,8.8294147753,8.4772019721
2031.266077,8.4646998891,8.2659471235,8.5911823457,8.3245313750
2031.349401,8.2199585487,8.0715220065,8.3583410992,8.1711097315
2031.432726,7.9827826841,7.8805035277,8.1311018071,8.0166950245
2031.516051,7.7533037016,7.6926006676,7.9098589838,7.8612093199
2031.599375,7.5316136661,7.5077288353,7.6951525836,7.7047357217
2031.682700,7.3177573595,7.3259887719,7.4876106444,7.5475057853
2031.766025,7.1117271165,7.1476299265,7.2878807664,7.3898788765
2031.849349,6.9134604762,6.9730035889,7.0965590020,7.2323154418
2031.932674,6.7228405056,6.8025114490,6.9141243886,7.0753464445
2032.015999,6.5396985036,6.6365550113,6.7408860782,6.9195413018
2032.099323,6.3638186956,6.4754905380,6.5769480405,6.7654765529
2032.182648,6.1949444652,6.3195930708,6.4221939189,6.6137072103
2032.265973,6.0327856515,6.1690317567,6.2762921568,6.4647423531
2032.349297,5.8770264512,6.0238573453,6.1387192739,6.3190260410
2032.432622,5.7273335042,5.8840014755,6.0087974248,6.1769241330
2032.515947,5.5833637954,5.7492863478,5.8857412709,6.0387171082
2032.599271,5.4447720720,5.6194426387,5.7687087989,5.9045985616
2032.682596,5.3112175459,5.4941330905,5.6568509848,5.7746787029
2032.765921,5.1823697156,5.3729790924,5.5493560075,5.6489919406
2032.849245,5.0579132089,5.2555877040,5.4454848856,5.5275074905
2032.932570,4.9375515969,5.1415769187,5.3445967542,5.4101419016
2033.015894,4.8210101822,5.0305974315,5.2461633139,5.2967724324
2033.099219,4.7080377975,4.9223497194,5.1497731349,5.1872503227
2033.182544,4.5984076838,4.8165957772,5.0551273631,5.0814131568
2033.265868,4.4919175388,4.7131653542,4.9620289070,4.9790957083
2033.349193,4.3883888447,4.6119569555,4.8703673801,4.8801388449
2033.432518,4.2876655941,4.5129341941,4.7801019806,4.7843962682
2033.515842,4.1896125441,4.4161183035,4.6912441653,4.6917390313
2033.599167,4.0941131251,4.3215777439,4.6038415241,4.6020579241
2033.682492,4.0010671374,4.2294158725,4.5179637498,4.5152639307
2033.765816,3.9103883559,4.1397576157,4.4336911128,4.4312870427
2033.849141,3.8220021604,4.0527359990,4.3511054479,4.3500737636
2033.932466,3.7358432913,3.9684792702,4.2702833667,4.2715836594
2034.015790,3.6518538160,3.8870992170,4.1912912467,4.1957853074
2034.099115,3.5699813734,3.8086811352,4.1141814999,4.1226519743
2034.182440,3.4901777387,3.7332757696,4.0389896800,4.0521573181
2034.265764,3.4123977322,3.6608934183,3.9657320999,3.9842713634
2034.349089,3.3365984710,3.5915002823,3.8944037899,3.9189569495
2034.432414,3.2627389427,3.5250170447,3.8249767785,3.8561668009
2034.515738,3.1907798604,3.4613195850,3.7573988074,3.7958413173
2034.599063,3.1206837449,3.4002416669,3.6915926863,3.7379071366
2034.682388,3.0524151680,3.3415793893,3.6274565259,3.6822764776
2034.765712,2.9859410859,3.2850971457,3.5648650785,3.6288472385
2034.849037,2.9212311897,3.2305348074,3.5036723518,3.5775037904
2034.932362,2.8582582058,3.1776158193,3.4437155702,3.5281183850
2035.015686,2.7969980869,3.1260558838,3.3848204374,3.4805530741
2035.099011,2.7374300456,3.0755718948,3.3268075352,3.4346620290
2035.182336,2.6795363996,3.0258907843,3.2694995770,3.3902941374
2035.265660,2.6233022123,2.9767579520,3.2127291403,3.3472957589
2035.348985,2.5687147313,2.9279449638,3.1563464380,3.3055135175
2035.432310,2.5157626407,2.8792562339,3.1002266594,3.2647970249
2035.515634,2.4644351615,2.8305344435,3.0442764169,3.2250014332
2035.598959,2.4147210426,2.7816645001,2.9884388801,3.1859897349
2035.682284,2.3666074941,2.7325758970,2.9326972538,3.1476347446
2035.765608,2.3200791208,2.6832434021,2.8770763566,3.1098207129
2035.848933,2.2751169124,2.6336860728,2.8216421764,3.0724445458
2035.932258,2.2316973450,2.5839646679,2.7664994040,3.0354166181
2036.015582,2.1897916416,2.5341775924,2.7117870739,2.9986611898
2036.098907,2.1493652314,2.4844555779,2.6576725574,2.9621164473
2036.182231,2.1103774347,2.4349553487,2.6043442492,2.9257342060
2036.265556,2.0727813889,2.3858525639,2.5520033688,2.8894793212
2036.348881,2.0365242187,2.3373343507,2.5008553375,2.8533288576
2036.432205,2.0015474399,2.2895917473,2.4511012129,2.8172710764
2036.515530,1.9677875756,2.2428123679,2.4029296419,2.7813042944
2036.598855,1.9351769550,2.1971735746,2.3565097486,2.7454356685
2036.682179,1.9036446539,2.1528364052,2.3119853010,2.7096799562
2036.765504,1.8731175369,2.1099404553,2.2694704063,2.6740582916
2036.848829,1.8435213528,2.0685998592,2.2290468802,2.6385970120
2036.932153,1.8147818391,2.0289004548,2.1907633207,2.6033265596
2037.015478,1.7868257926,1.9908981593,2.1546358078,2.5682804753
2037.098803,1.7595820662,1.9546185258,2.1206500509,2.5334944917
2037.182127,1.7329824617,1.9200574062,2.0887647205,2.4990057285
2037.265452,1.7069624911,1.8871825992,2.0589156390,2.4648519837
2037.348777,1.6814619917,1.8559363387,2.0310204717,2.4310711141
2037.432101,1.6564255842,1.8262384504,2.0049835500,2.3977004916
2037.515426,1.6318029737,1.7979900010,1.9807004766,2.3647765238
2037.598751,1.6075490996,1.7710772596,1.9580622105,2.3323342257
2037.682075,1.5836241461,1.7453757991,1.9369583906,2.3004068320
2037.765400,1.5599934310,1.7207545825,1.9172797384,2.2690254392
2037.848725,1.5366271931,1.6970798958,1.8989194680,2.2382186720
2037.932049,1.5135003006,1.6742190117,1.8817737187,2.2080123697
2038.015374,1.4905919042,1.6520434960,1.8657411109,2.1784292909
2038.098699,1.4678850583,1.6304320867,1.8507215933,2.1494888389
2038.182023,1.4453663287,1.6092731049,1.8366148071,2.1212068112
2038.265348,1.4230254085,1.5884663739,1.8233182204,2.0935951775
2038.348673,1.4008547542,1.5679246417,1.8107253015,2.0666618941
2038.431997,1.3788492554,1.5475745184,1.7987239842,2.0404107589
2038.515322,1.3570059439,1.5273569520,1.7871956489,2.0148413165
2038.598647,1.3353237473,1.5072272752,1.7760147913,1.9899488170
2038.681971,1.3138032856,1.4871548639,1.7650494918,1.9657242334
2038.765296,1.2924467099,1.4671224521,1.7541627283,1.9421543420
2038.848621,1.2712575763,1.4471251515,1.7432145055,1.9192218667
2038.931945,1.2502407488,1.4271692266,1.7320647074,1.8969056869
2039.015270,1.2294023220,1.4072706748,1.7205765227,1.8751811080
2039.098594,1.2087495563,1.3874536644,1.7086202460,1.8540201903
2039.181919,1.1882908161,1.3677488782,1.6960772311,1.8333921323
2039.265244,1.1680355025,1.3481918126,1.6828437554,1.8132637006
2039.348568,1.1479939756,1.3288210796,1.6688345630,1.7935997006
2039.431893,1.1281774600,1.3096767542,1.6539858709,1.7743634787
2039.515218,1.1085979291,1.2907988107,1.6382576557,1.7555174465
2039.598542,1.0892679693,1.2722256836,1.6216350862,1.7370236185
2039.681867,1.0702006206,1.2539929867,1.6041290135,1.7188441525
2039.765192,1.0514091981,1.2361324198,1.5857754893,1.7009418829
2039.848516,1.0329070959,1.2186708823,1.5666343356,1.6832808371
2039.931841,1.0147075790,1.2016298120,1.5467868397,1.6658267257
2040.015166,0.9968235673,1.1850247570,1.5263326943,1.6485473975
2040.098490,0.9792674177,1.1688651817,1.5053863358,1.6314132499
2040.181815,0.9620507121,1.1531545026,1.4840728597,1.6143975889
2040.265140,0.9451840540,1.1378903406,1.4625237058,1.5974769311
2040.348464,0.9286768828,1.1230649705,1.4408723086,1.5806312423
2040.431789,0.9125373081,1.1086659428,1.4192498977,1.5638441099
2040.515114,0.8967719700,1.0946768474,1.3977816198,1.5471028445
2040.598438,0.8813859269,1.0810781845,1.3765831251,1.5303985115
2040.681763,0.8663825746,1.0678483061,1.3557577312,1.5137258921
2040.765088,0.8517635968,1.0549643882,1.3353942452,1.4970833751
2040.848412,0.8375289471,1.0424033971,1.3155654865,1.4804727849
2040.931737,0.8236768613,1.0301430102,1.2963275181,1.4638991478
2041.015062,0.8102038989,1.0181624579,1.2777195641,1.4473704057
2041.098386,0.7971050104,1.0064432559,1.2597645580,1.4308970827
2041.181711,0.7843736271,0.9949698014,1.2424702459,1.4144919144
2041.265036,0.7720017704,0.9837298140,1.2258307484,1.3981694489
2041.348360,0.7599801763,0.9727146072,1.2098284738,1.3819456290
2041.431685,0.7482984308,0.9619191841,1.1944362683,1.3658373678
2041.515010,0.7369451129,0.9513421582,1.1796196906,1.3498621265
2041.598334,0.7259079410,0.9409855056,1.1653392994,1.3340375055
2041.681659,0.7151739200,0.9308541627,1.1515528584,1.3183808588
2041.764984,0.7047294845,0.9209554880,1.1382173696,1.3029089408
2041.848308,0.6945606384,0.9112986134,1.1252908672,1.2876375942
2041.931633,0.6846530862,0.9018937118,1.1127339195,1.2725814845
2042.014957,0.6749923557,0.8927512123,1.1005108057,1.2577538883
2042.098282,0.6655639120,0.8838809956,1.0885903515,1.2431665390
2042.181607,0.6563532604,0.8752916008,1.0769464244,1.2288295307
2042.264931,0.6473460401,0.8669894775,1.0655581075,1.2147512829
2042.348256,0.6385281082,0.8589783096,1.0544095781,1.2009385624
2042.431581,0.6298856136,0.8512584393,1.0434897334,1.1873965609
2042.514905,0.6214050640,0.8438264116,1.0327916091,1.1741290220
2042.598230,0.6130733849,0.8366746579,1.0223116408,1.1611384124
2042.681555,0.6048779719,0.8297913285,1.0120488240,1.1484261275
2042.764879,0.5968067386,0.8231602812,1.0020038207,1.1359927252
2042.848204,0.5888481590,0.8167612255,0.9921780641,1.1238381749
2042.931529,0.5809913077,0.8105700166,0.9825729021,1.1119621136
2043.014853,0.5732258953,0.8045590886,0.9731888183,1.1003640983
2043.098178,0.5655423032,0.7986980101,0.9640247580,1.0890438429
2043.181503,0.5579316142,0.7929541435,0.9550775821,1.0780014323
2043.264827,0.5503856427,0.7872933833,0.9463416607,1.0672375017
2043.348152,0.5428969613,0.7816809488,0.9378086130,1.0567533765
2043.431477,0.5354589256,0.7760822042,0.9294671921,1.0465511648
2043.514801,0.5280656953,0.7704634780,0.9213033077,1.0366337975
2043.598126,0.5207122522,0.7647928558,0.9133001727,1.0270050149
2043.681451,0.5133944147,0.7590409213,0.9054385599,1.0176692980
2043.764775,0.5061088460,0.7531814226,0.8976971473,1.0086317457
2043.848100,0.4988530589,0.7471918447,0.8900529333,0.9998979013
2043.931425,0.4916254134,0.7410538719,0.8824816998,0.9914735334
2044.014749,0.4844251087,0.7347537288,0.8749585028,0.9833643775
2044.098074,0.4772521683,0.7282823917,0.8674581714,0.9755758470
2044.181399,0.4701074182,0.7216356687,0.8599557974,0.9681127215
2044.264723,0.4629924584,0.7148141487,0.8524272006,0.9609788246
2044.348048,0.4559096270,0.7078230249,0.8448493574,0.9541766989
2044.431373,0.4488619577,0.7006718026,0.8372007838,0.9477072919
2044.514697,0.4418531313,0.6933739024,0.8294618646,0.9415696606
2044.598022,0.4348874211,0.6859461760,0.8216151261,0.9357607060
2044.681347,0.4279696324,0.6784083486,0.8136454506,0.9302749464
2044.764671,0.4211050387,0.6707824100,0.8055402332,0.9251043364
2044.847996,0.4142993131,0.6630919709,0.7972894834,0.9202381390
2044.931320,0.4075584577,0.6553616051,0.7888858766,0.9156628547
2045.014645,0.4008887301,0.6476161965,0.7803247595,0.9113622116
2045.097970,0.3942965704,0.6398803089,0.7716041170,0.9073172167
2045.181294,0.3877885265,0.6321775940,0.7627245055,0.9035062687
2045.264619,0.3813711822,0.6245302530,0.7536889609,0.8999053307
2045.347944,0.3750510853,0.6169585638,0.7445028853,0.8964881570
2045.431268,0.3688346798,0.6094804835,0.7351739209,0.8932265721
2045.514593,0.3627282404,0.6021113321,0.7257118137,0.8900907916
2045.597918,0.3567378120,0.5948635642,0.7161282728,0.8870497818
2045.681242,0.3508691528,0.5877466273,0.7064368285,0.8840716463
2045.764567,0.3451276832,0.5807669091,0.6966526909,0.8811240328
2045.847892,0.3395184399,0.5739277682,0.6867926108,0.8781745515
2045.931216,0.3340460353,0.5672296438,0.6768747441,0.8751911942
2046.014541,0.3287146233,0.5606702375,0.6669185187,0.8721427485
2046.097866,0.3235278703,0.5542447582,0.6569445023,0.8689991954
2046.181190,0.3184889325,0.5479462197,0.6469742719,0.8657320861
2046.264515,0.3136004387,0.5417657811,0.6370302803,0.8623148887
2046.347840,0.3088644784,0.5356931178,0.6271357193,0.8587233005
2046.431164,0.3042825954,0.5297168123,0.6173143763,0.8549355202
2046.514489,0.2998557861,0.5238247523,0.6075904831,0.8509324770
2046.597814,0.2955845025,0.5180045260,0.5979885536,0.8466980131
