time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083314,63.7180439234,181.6132776877,53.8721373213,21.8842108298,43.7457424293,33.9268053067,74.7891066447,39.8477123419,39.8477123419,45.4965518062,31.0657798484
0.166627,71.5045482177,135.5483529717,56.6409345787,23.9873390631,45.3680253208,36.0851336364,73.7695048496,45.1337112897,45.1337112897,50.6151345176,35.5033346907
0.249941,72.1471119726,101.9457835444,55.8503020239,24.8753718429,42.4392316338,34.7821003638,69.3473446422,45.9735698918,45.9735698918,49.3508743202,36.1448351500
0.333254,69.5389593888,78.0564925403,53.5240229981,25.1670257164,38.1036462651,32.1834310492,63.9293631211,44.7792495162,44.7792495162,45.7013440825,35.0557657733
0.416568,65.3563398170,61.0242211136,50.4867628672,25.1011737053,33.5608451848,29.1657991053,58.3765337509,42.6025840782,42.6025840782,41.3711358842,33.1463218547
0.499881,60.4770051357,48.7386301990,47.1605520729,24.8020531338,29.3394183053,26.1493169454,53.0487837725,39.9910853650,39.9910853650,37.1184134460,30.8919069500
0.583195,55.3944271867,39.7402471883,43.7813302220,24.3445822933,25.6524799429,23.3368124084,48.0954685032,37.2461714355,37.2461714355,33.2413241531,28.5533248533
0.666508,50.3913496958,33.0351180955,40.4846829788,23.7780562574,22.5451103913,20.8139844644,43.5679770845,34.5348354453,34.5348354453,29.8155505002,26.2730268633
0.749822,45.6268569182,27.9454966902,37.3473300188,23.1367715174,19.9751469079,18.6013610932,39.4705348848,31.9468919263,31.9468919263,26.8191338394,24.1249352634
0.833135,41.1848400471,24.0064085038,34.4098304105,22.4454949942,17.8628124522,16.6845712829,35.7849121603,29.5269980608,29.5269980608,24.1964701495,22.1426582604
0.916449,37.1027808096,20.8969578939,31.6900360917,21.7225697679,16.1204801016,15.0327265628,32.4828652990,27.2933722945,27.2933722945,21.8886180329,20.3362750251
0.999763,33.3895701303,18.3947392647,29.1914880194,20.9818136523,14.6684939231,13.6094284890,29.5324602250,25.2489541784,25.2489541784,19.8455982260,18.7025722592
1.083076,30.0368239448,16.3450666919,26.9088330567,20.2337482083,13.4416358757,12.3789687194,26.9012548953,23.3880923859,23.3880923859,18.0296141497,17.2313312511
1.166390,27.0261622570,14.6398192560,24.8313881056,19.4864313874,12.3899784501,11.3094084804,24.5578551628,21.7005388134,21.7005388134,16.4140485501,15.9091549499
1.249703,24.3338988209,13.2027541086,22.9455063266,18.7460427861,11.4769057666,10.3737167239,22.4726336997,20.1738140937,20.1738140937,14.9807727874,14.7217360419
1.333017,21.9340338113,11.9793301494,21.2361473945,18.0173075721,10.6761311970,9.5497913700,20.6180263168,18.7945942876,18.7945942876,13.7170724490,13.6551329723
1.416330,19.8001222709,10.9297358476,19.6879091564,17.3038112505,9.9687468386,8.8199188471,18.9686208670,17.5495156538,17.5495156538,12.6128599585,12.6964204969
1.499644,17.9063975433,10.0241826156,18.2856909042,16.6082382143,9.3407779065,8.1700230226,17.5011475753,16.4256373817,16.4256373817,11.6585073787,11.8339554742
1.582957,16.2284059314,9.2397639908,17.0151035920,15.9325556277,8.7813713165,7.5889059610,16.1944234152,15.4107044438,15.4107044438,10.8434294225,11.0574165054
1.666271,14.7433273181,8.5583634544,15.8627065058,15.2781571797,8.2815705880,7.0675810526,15.0292742677,14.4932926772,14.4932926772,10.1554077445,10.3577209731
1.749584,13.4301005943,7.9652449050,14.8161258298,14.6459767819,7.8335598457,6.5987344226,13.9884445545,13.6628822642,13.6628822642,9.5805501324,9.7268855016
1.832898,12.2694335698,7.4480830492,13.8640940147,14.0365793623,7.4302495824,6.1763136164,13.0564978500,12.9098850995,12.9098850995,9.1037179630,9.1578701987
1.916211,11.2437493472,6.9962843504,12.9964372860,13.4502339400,7.0650930508,5.7952247636,12.2197097843,12.2256402726,12.2256402726,8.7092311119,8.6444296390
1.999525,10.3371016774,6.6005127334,12.2040304520,12.8869728125,6.7320458677,5.4511137423,11.4659541886,11.6023861909,11.6023861909,8.3816673493,8.1809820492
2.082839,9.5350783944,6.2523717470,11.4787323336,12.3466397379,6.4256039136,5.1402080022,10.7845837769,11.0332152351,11.0332152351,8.1066052930,7.7625008514
2.166152,8.8247030921,5.9442127945,10.8133109734,11.8289293082,6.1408730735,4.8592000283,10.1663071249,10.5120157329,10.5120157329,7.8712061619,7.3844283904
2.249466,8.1943395707,5.6690446147,10.2013647996,11.3334192166,5.8736388199,4.6051586075,9.6030640491,10.0334055457,10.0334055457,7.6645796917,7.0426093771
2.332779,7.6336003003,5.4205188777,9.6372438100,10.8595967499,5.6204149884,4.3754588137,9.0879016205,9.5926612085,9.5926612085,7.4779251561,6.7332406379
