time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0021023125,0.3071378516,0.0353388728,0.0030033036,0.0007007708,0.0000000000,0.0781860046,0.0011012113,0.0011012113,0.0000000000,0.0000000000
0.083301,0.1380518570,0.4413855241,0.1754930423,0.0985083592,0.0746821504,0.0646711383,0.2207428171,0.0845930524,0.0845930524,0.0734808289,0.0589648613
0.166601,0.2544799279,0.5259785764,0.2625888477,0.1699869857,0.1357493243,0.1174291721,0.3087396136,0.1622785064,0.1622785064,0.1447592352,0.1232355591
0.249902,0.3395735309,0.5820402443,0.3259585544,0.2209430373,0.1790970067,0.1552707979,0.3762138352,0.2198418260,0.2198418260,0.1950145160,0.1675843428
0.333203,0.4030433477,0.6268895785,0.3757132846,0.2624887376,0.2103313645,0.1835018520,0.4310741816,0.2648913805,0.2648913805,0.2395635199,0.2029232155
0.416503,0.4581039143,0.6650315347,0.4188607468,0.2980278306,0.2386625288,0.2075282811,0.4779257183,0.3070377415,0.3070377415,0.2747021724,0.2349584543
0.499804,0.5039543498,0.6950645710,0.4577034738,0.3254580038,0.2610871959,0.2254479928,0.5180698769,0.3412754029,0.3412754029,0.3047352087,0.2624887376
0.583105,0.5408949845,0.7185904495,0.4897387126,0.3493843228,0.2835118630,0.2434678146,0.5509059966,0.3727099810,0.3727099810,0.3311642807,0.2851136250
0.666405,0.5752327560,0.7427169887,0.5181699870,0.3694063470,0.2983281610,0.2573831214,0.5768345180,0.3986385024,0.3986385024,0.3568925818,0.3041345480
0.749706,0.5991590750,0.7615376915,0.5420963059,0.3878266093,0.3136450095,0.2696966663,0.6026629292,0.4221643808,0.4221643808,0.3782160376,0.3225548103
0.833007,0.6233857243,0.7769546501,0.5637200921,0.4055461007,0.3258584443,0.2808088898,0.6271899089,0.4426869557,0.4426869557,0.3980378416,0.3381719892
0.916308,0.6456101712,0.7912703974,0.5858444289,0.4217639403,0.3385724297,0.2896185804,0.6464110522,0.4620082090,0.4620082090,0.4155571128,0.3533887276
0.999608,0.6639303234,0.8021824006,0.6026629292,0.4366803484,0.3496846531,0.2997297027,0.6621283412,0.4826308940,0.4826308940,0.4308739614,0.3685053559
1.082909,0.6819501452,0.8140955051,0.6174792271,0.4485934528,0.3601962158,0.3079387326,0.6788467314,0.4986485134,0.4986485134,0.4440884973,0.3806186805
1.166210,0.6973671038,0.8247071779,0.6314946441,0.4604064471,0.3685053559,0.3152467714,0.6922614876,0.5121633797,0.5121633797,0.4579036941,0.3903293623
1.249510,0.7087796576,0.8340174192,0.6448092902,0.4706176794,0.3772149364,0.3217539293,0.7060766844,0.5255781359,0.5255781359,0.4708178997,0.4017419161
1.332811,0.7195915507,0.8410251276,0.6549204125,0.4827310041,0.3845229753,0.3280608670,0.7184903394,0.5378916808,0.5378916808,0.4818300130,0.4127540294
1.416112,0.7318049855,0.8485333867,0.6662328561,0.4933426769,0.3925317850,0.3342676945,0.7293022325,0.5510061067,0.5510061067,0.4917409150,0.4218640505
