time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083301,110.2808483803,240.9030467141,87.0555954613,35.7564057511,20.2830563845,48.8415643342,116.5427881706,38.6769116655,38.6769116655,71.2248681471,49.5516691758
0.166601,109.0172705667,130.8633816714,83.0614871370,38.3094533672,21.8985855241,47.9993459026,102.3389168630,42.7293649712,42.7293649712,69.7623000108,53.0665265016
0.249902,95.8520107175,83.5249318601,75.1432522685,38.4705310842,22.4200638831,42.3471095471,87.1234829175,43.5892554831,43.5892554831,60.4848254222,49.6270907242
0.333203,81.5096468055,60.2818816093,66.7350997164,37.5616057801,22.4237963075,36.1717150539,73.8293020290,42.9574347636,42.9574347636,51.2975420232,44.3480783217
0.416503,68.7922188237,46.9895939709,58.8706546440,36.1071267588,22.1303198626,30.6736517802,62.7818577107,41.5320693413,41.5320693413,43.7726421768,39.0095095733
0.499804,58.1972904436,38.3016540769,51.8579058443,34.3753204263,21.6528592473,26.0962221767,53.7355322066,39.6797542446,39.6797542446,37.8672454094,34.2173414408
0.583105,49.5495318350,32.0445439677,45.7371736888,32.5195174648,21.0585286368,22.3761896141,46.3413753751,37.6147332389,37.6147332389,33.2020469228,30.1176530247
0.666405,42.5201456433,27.2499724656,40.4477707394,30.6321722455,20.3905605912,19.3714301029,40.2744683139,35.4688333543,35.4688333543,29.4249898510,26.6778881069
0.749706,36.7873154815,23.4416711729,35.8957825522,28.7702037977,19.6782857191,16.9385754564,35.2641776749,33.3249070998,33.3249070998,26.2880068836,23.8051866786
0.833007,32.0792839222,20.3548407547,31.9824325488,26.9685122735,18.9422738500,14.9554310783,31.0946194508,31.2349839553,31.2349839553,23.6325929613,21.3967413253
0.916308,28.1796773702,17.8186694955,28.6154861031,25.2478374838,18.1972531908,13.3240212497,27.5967727002,29.2309901971,29.2309901971,21.3570032892,19.3600026235
0.999608,24.9210209613,15.7091009736,25.7131597449,23.6196101908,17.4538922252,11.9677815063,24.6393268862,27.3314598381,27.3314598381,19.3908219894,17.6191212938
1.082909,22.1751437994,13.9323470001,23.2047619544,22.0890766621,16.7199496429,10.8276575853,22.1204485245,25.5459117916,25.5459117916,17.6811817400,16.1151841601
1.166210,19.8437401656,12.4190603792,21.0299953880,20.6573724265,16.0010496036,9.8585208816,19.9609640145,23.8777887019,23.8777887019,16.1867474377,14.8038758361
1.249510,17.8504313519,11.1199463665,19.1377968718,19.3229276332,15.3012229678,9.0261471255,18.0989156980,22.3264701254,22.3264701254,14.8748829350,13.6523490264
1.332811,16.1347621775,10.0003929483,17.4850994289,18.0824325923,14.6232959261,8.3046943907,16.4853112994,20.8886699876,20.8886699876,13.7195583764,12.6361743641
1.416112,14.6480366819,9.0349212428,16.0356716955,16.9315063015,13.9691755026,7.6745979766,15.0808746954,19.5594140049,19.5594140049,12.6995081700,11.7367669994
1.499412,13.3506139425,8.2028210296,14.7590862940,15.8651604195,13.3400632353,7.1208443875,13.8536209861,18.3327250437,18.3327250437,11.7968985908,10.9394252393
1.582713,12.2101938498,7.4856299942,13.6298241737,14.8781202992,12.7366175471,6.6316145519,12.7770940961,17.2021025136,17.2021025136,10.9966288193,10.2319662850
1.666014,11.2006655433,6.8662644859,12.6265048170,13.9650451096,12.1590786545,6.1972840793,11.8291184277,16.1608550650,16.1608550650,10.2860432309,9.6038627535
1.749314,10.3012055865,6.3291485357,11.7312272680,13.1206762484,11.6073656163,5.8097475576,10.9909308652,15.2023281474,15.2023281474,9.6546944529,9.0457507085
1.832615,9.4954452224,5.8606599943,10.9290069912,12.3399346438,11.0811523277,5.4620107846,10.2465780158,14.3200559919,14.3200559919,9.0939189637,8.5491810217
1.915916,8.7706395310,5.4494344155,10.2072953293,11.6179816353,10.5799273921,5.1479804464,9.5824857505,13.5078592880,13.5078592880,8.5962185243,8.1065077901
1.999216,8.1168478180,5.0863417069,9.5555704047,10.9502540037,10.1030414967,4.8623790320,8.9871318397,12.7599039776,12.7599039776,8.1546159114,7.7108382504
2.082517,7.5261715075,4.7641604090,8.9649901452,10.3324807960,9.6497450122,4.6007220270,8.4507751879,12.0707324173,12.0707324173,7.7621935282,7.3559988687
2.165818,6.9921007275,4.4770843608,8.4280995613,9.7606874985,9.2192178779,4.3593102639,7.9652146235,11.4352751337,11.4352751337,7.4119444761,7.0364964396
2.249119,6.5090056668,4.2202193092,7.9385854719,9.2311915906,8.8105933555,4.1352079416,7.5235650537,10.8488491915,10.8488491915,7.0969355847,6.7474690165
2.332419,6.0717854609,3.9891926800,7.4910726399,8.7405924069,8.4229768838,3.9261926363,7.1200486696,10.3071475666,10.3071475666,6.8106712295,6.4846298342
