milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,9286,703,9989,92.96,0.0833,0.0610,0.4933,8.4364
AIR-5x,9961,28,9989,99.72,0.0833,0.0000,0.1395,2.3983
AIR-25x,9727,262,9989,97.38,0.0833,0.0264,0.6109,9.7703
AIR-250x,8724,1265,9989,87.34,0.2499,0.0853,1.4736,1000000.0000
AIR-2000x,7541,2448,9989,75.49,0.3332,0.1107,3.9441,1000000.0000
AIR-10000x,6611,3378,9989,66.18,0.0833,0.1338,11.2532,1000000.0000
SAR-level-experiment-selection-skill,9972,17,9989,99.83,0.0833,0.0077,0.4608,5.0356
SIAR-level-experiment-selection-skill,9937,52,9989,99.48,0.2499,0.0978,1.0900,14.2565
STRAT-AI,9937,52,9989,99.48,0.2499,0.0978,1.0900,14.2565
TED-AI,9766,223,9989,97.77,0.0833,0.1115,1.4968,32.1764
ASI,9660,329,9989,96.71,0.1666,0.1359,2.4887,51.3219
