time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2025.600000,0.0041028720,0.0024016812,0.0024016812,0.0017011908
2025.683323,0.0041028720,0.0025017512,0.0025017512,0.0018012609
2025.766646,0.0043030121,0.0026018213,0.0027018913,0.0020014010
2025.849970,0.0045031522,0.0027018913,0.0027018913,0.0020014010
2025.933293,0.0047032923,0.0027018913,0.0029020314,0.0021014710
2026.016616,0.0051035725,0.0029020314,0.0030021015,0.0021014710
2026.099939,0.0053037126,0.0029020314,0.0031021715,0.0022015411
2026.183262,0.0054037826,0.0030021015,0.0031021715,0.0023016111
2026.266585,0.0059041329,0.0031021715,0.0035024517,0.0023016111
2026.349909,0.0068047633,0.0035024517,0.0039027319,0.0023016111
2026.433232,0.0081056740,0.0041028720,0.0047032923,0.0028019614
2026.516555,0.0096067247,0.0049034324,0.0058040628,0.0040028020
2026.599878,0.0109076353,0.0061042730,0.0068047633,0.0047032923
2026.683201,0.0151105774,0.0078054638,0.0088061643,0.0063044131
2026.766524,0.0192134494,0.0101070750,0.0119083358,0.0080056039
2026.849848,0.0232162514,0.0124086861,0.0139097368,0.0099069349
2026.933171,0.0299209447,0.0155108576,0.0175122586,0.0124086861
2027.016494,0.0372260582,0.0191133794,0.0218152707,0.0152106475
2027.099817,0.0438306815,0.0226158311,0.0264184929,0.0191133794
2027.183140,0.0521364955,0.0277194036,0.0317222055,0.0236165316
2027.266463,0.0637446212,0.0353247273,0.0394275993,0.0302211548
2027.349787,0.0773541479,0.0415290703,0.0477334134,0.0368257780
2027.433110,0.0917642350,0.0486340438,0.0555388772,0.0422295607
2027.516433,0.1066746723,0.0563394376,0.0650455319,0.0488341839
2027.599756,0.1214850395,0.0662463725,0.0752526769,0.0571399980
2027.683079,0.1372961073,0.0801561093,0.0860602422,0.0663464425
2027.766402,0.1528069649,0.0904633243,0.0976683679,0.0754528170
2027.849726,0.1690183128,0.1004703292,0.1083758631,0.0852596818
2027.933049,0.1897328130,0.1111778245,0.1225858101,0.0943660562
2028.016372,0.2084459121,0.1224857400,0.1355949164,0.1027719404
2028.099695,0.2240568398,0.1362954068,0.1482037426,0.1137796458
2028.183018,0.2405683979,0.1480036025,0.1600120084,0.1258881217
2028.266341,0.2580806565,0.1615130591,0.1731211848,0.1370959672
2028.349665,0.2758931252,0.1734213950,0.1872310617,0.1488041629
2028.432988,0.2916041229,0.1869308516,0.2004403082,0.1599119384
2028.516311,0.3064144901,0.1987391174,0.2132492745,0.1697188032
2028.599634,0.3233263284,0.2122485740,0.2242569799,0.1811267888
2028.682957,0.3413389373,0.2257580306,0.2368658061,0.1920344241
2028.766280,0.3555488842,0.2390673471,0.2521765236,0.2022415691
2028.849604,0.3716601621,0.2520764535,0.2652857000,0.2128489943
2028.932927,0.3864705294,0.2641849295,0.2779945962,0.2217552287
2029.016250,0.4011808266,0.2754928450,0.2900030021,0.2308616031
2029.099573,0.4157910537,0.2876013209,0.3032122486,0.2409686781
2029.182896,0.4289002302,0.3004102872,0.3154207946,0.2522765936
2029.266220,0.4430101071,0.3135194636,0.3292304613,0.2632842990
2029.349543,0.4549184429,0.3248273792,0.3418392875,0.2732913039
2029.432866,0.4669268488,0.3349344541,0.3524467127,0.2845992195
2029.516189,0.4781346943,0.3466426499,0.3649554688,0.2945061543
2029.599512,0.4896427499,0.3564495147,0.3760632443,0.3064144901
2029.682835,0.5014510157,0.3663564495,0.3883718603,0.3170219153
2029.766159,0.5122585810,0.3764635245,0.3979785850,0.3275292705
2029.849482,0.5228660062,0.3853697588,0.4082858001,0.3361352947
2029.932805,0.5328730111,0.3958771140,0.4186930852,0.3447413189
2030.016128,0.5431802262,0.4043830681,0.4273991794,0.3527469228
2030.099451,0.5538877214,0.4134894426,0.4367056940,0.3602521765
2030.182774,0.5652957070,0.4241969379,0.4448113680,0.3691584109
2030.266098,0.5754027819,0.4329030321,0.4533173221,0.3762633844
2030.349421,0.5852096468,0.4429100370,0.4616231362,0.3846692685
2030.432744,0.5936155309,0.4505153608,0.4700290203,0.3925748024
2030.516067,0.6032222556,0.4581206845,0.4795356750,0.4001801261
2030.599390,0.6103272291,0.4674271990,0.4870409287,0.4076853798
2030.682713,0.6192334634,0.4777344141,0.4946462524,0.4154908436
2030.766037,0.6273391374,0.4858400881,0.5024517162,0.4236965876
2030.849360,0.6347443210,0.4939457620,0.5112578805,0.4313019113
2030.932683,0.6437506254,0.5011508056,0.5192634844,0.4368057640
2031.016006,0.6494546182,0.5080556389,0.5266686681,0.4447112979
2031.099329,0.6537576303,0.5143600520,0.5336735715,0.4499149405
2031.182652,0.6614630241,0.5218653057,0.5410787551,0.4566196337
2031.265976,0.6694686280,0.5293705594,0.5495847093,0.4633243270
2031.349299,0.6756729711,0.5357750425,0.5555889122,0.4705293706
2031.432622,0.6842789953,0.5418793155,0.5619933954,0.4762333634
2031.515945,0.6901831282,0.5493845692,0.5678975283,0.4814370059
2031.599268,0.6963874712,0.5556889823,0.5743020114,0.4876413489
2031.682591,0.7015911138,0.5620934654,0.5799059342,0.4946462524
2031.765915,0.7066946863,0.5683978785,0.5870109076,0.5005503853
2031.849238,0.7121985390,0.5742019414,0.5929150405,0.5054538177
2031.932561,0.7170019013,0.5793055139,0.5983188232,0.5094566196
2032.015884,0.7215050535,0.5840088062,0.6033223256,0.5136595617
2032.099207,0.7260082057,0.5903132193,0.6082257580,0.5178625038
2032.182530,0.7310117082,0.5954167918,0.6134294006,0.5217652357
2032.265854,0.7360152106,0.6004202942,0.6189332533,0.5276693686
2032.349177,0.7408185730,0.6050235165,0.6238366857,0.5326728710
2032.432500,0.7441208846,0.6102271590,0.6305413790,0.5359751826
