milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,68,8,76,89.47,0.1666,0.1063,0.4742,500051.0192
AIR-5x,44,32,76,57.89,0.1666,0.0995,4.0351,1000000.0000
AIR-25x,67,9,76,88.16,0.2499,0.1283,0.8149,1000000.0000
AIR-250x,66,10,76,86.84,0.4165,0.1262,1.4097,1000000.0000
AIR-2000x,60,16,76,78.95,0.6664,0.1677,2.9941,1000000.0000
AIR-10000x,53,23,76,69.74,0.8330,0.2395,14.1328,1000000.0000
SAR-level-experiment-selection-skill,69,7,76,90.79,0.2499,0.0678,0.7309,26.2951
SIAR-level-experiment-selection-skill,76,0,76,100.00,0.4998,0.1415,1.3932,17.4465
STRAT-AI,76,0,76,100.00,0.4998,0.1415,1.3932,17.4465
TED-AI,75,1,76,98.68,0.6664,0.2124,1.5055,37.8542
ASI,74,2,76,97.37,0.9996,0.2251,3.3590,64.7286
