time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2025.600000,0.0020020020,0.0020020020,0.0020020020,0.0010010010
2025.683325,0.0020020020,0.0020020020,0.0020020020,0.0010010010
2025.766650,0.0020020020,0.0020020020,0.0020020020,0.0010010010
2025.849975,0.0020020020,0.0020020020,0.0020020020,0.0010010010
2025.933301,0.0020020020,0.0020020020,0.0020020020,0.0010010010
2026.016626,0.0030030030,0.0020020020,0.0020020020,0.0010010010
2026.099951,0.0040040040,0.0030030030,0.0020020020,0.0010010010
2026.183276,0.0060060060,0.0030030030,0.0030030030,0.0010010010
2026.266601,0.0130130130,0.0050050050,0.0070070070,0.0020020020
2026.349926,0.0160160160,0.0070070070,0.0110110110,0.0030030030
2026.433251,0.0260260260,0.0100100100,0.0130130130,0.0070070070
2026.516576,0.0300300300,0.0140140140,0.0150150150,0.0100100100
2026.599902,0.0330330330,0.0180180180,0.0210210210,0.0140140140
2026.683227,0.0410410410,0.0250250250,0.0250250250,0.0220220220
2026.766552,0.0530530531,0.0290290290,0.0310310310,0.0260260260
2026.849877,0.0620620621,0.0330330330,0.0370370370,0.0290290290
2026.933202,0.0730730731,0.0410410410,0.0440440440,0.0320320320
2027.016527,0.0820820821,0.0470470470,0.0490490490,0.0390390390
2027.099852,0.0910910911,0.0530530531,0.0550550551,0.0430430430
2027.183177,0.1071071071,0.0590590591,0.0600600601,0.0480480480
2027.266503,0.1181181181,0.0670670671,0.0710710711,0.0520520521
2027.349828,0.1301301301,0.0730730731,0.0770770771,0.0590590591
2027.433153,0.1361361361,0.0800800801,0.0850850851,0.0600600601
2027.516478,0.1511511512,0.0870870871,0.0960960961,0.0640640641
2027.599803,0.1641641642,0.0940940941,0.1031031031,0.0710710711
2027.683128,0.1791791792,0.1051051051,0.1111111111,0.0780780781
2027.766453,0.1941941942,0.1141141141,0.1251251251,0.0860860861
2027.849778,0.2042042042,0.1231231231,0.1361361361,0.0950950951
2027.933104,0.2172172172,0.1361361361,0.1501501502,0.1011011011
2028.016429,0.2272272272,0.1501501502,0.1611611612,0.1131131131
2028.099754,0.2372372372,0.1641641642,0.1731731732,0.1251251251
2028.183079,0.2472472472,0.1691691692,0.1781781782,0.1301301301
2028.266404,0.2562562563,0.1771771772,0.1831831832,0.1391391391
2028.349729,0.2632632633,0.1851851852,0.1951951952,0.1451451451
2028.433054,0.2792792793,0.1881881882,0.1981981982,0.1491491491
2028.516379,0.2962962963,0.1951951952,0.2032032032,0.1541541542
2028.599705,0.3013013013,0.2062062062,0.2092092092,0.1631631632
2028.683030,0.3103103103,0.2202202202,0.2182182182,0.1701701702
2028.766355,0.3203203203,0.2282282282,0.2292292292,0.1751751752
2028.849680,0.3293293293,0.2312312312,0.2382382382,0.1801801802
