time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2025.600000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025.683325,1.0745699059,0.6847212601,0.7919648649,0.7609133472
2025.766650,1.7759423714,1.1239617131,1.2595790742,1.1083195879
2025.849975,2.4059640843,1.5194220337,1.6704702003,1.3945909350
2025.933301,2.9893168073,1.8881890691,2.0474732419,1.6471178396
2026.016626,3.5348668366,2.2363960124,2.3991777707,1.8764173868
2026.099951,4.0469849571,2.5669771316,2.7299065457,2.0878905124
2026.183276,4.5282907709,2.8815845877,3.0422132974,2.2847714804
2026.266601,4.9806004531,3.1812654055,3.3377801203,2.4691968499
2026.349926,5.4053220071,3.4667513698,3.6178100846,2.6426792997
2026.433251,5.8036406369,3.7385993070,3.8832222638,2.8063470289
2026.516576,6.1766127171,3.9972648691,4.1347576293,2.9610765058
2026.599902,6.5252159800,4.2431436870,4.3730404432,3.1075714060
2026.683227,6.8503772294,4.4765952871,4.5986156655,3.2464121849
2026.766552,7.1529879178,4.6979573765,4.8119726438,3.3780886076
2026.849877,7.4339129231,4.9075545059,5.0135605735,3.5030218817
2026.933202,7.6939954165,5.1057033373,5.2037988292,3.6215801780
2027.016527,7.9340594495,5.2927158072,5.3830839960,3.7340898012
2027.099852,8.1549112053,5.4689009617,5.5517947218,3.8408434105
2027.183177,8.3573394762,5.6345659433,5.7102951010,3.9421061879
2027.266503,8.5421157041,5.7900164312,5.8589370491,4.0381205478
2027.349828,8.7099937902,5.9355567339,5.9980619766,4.1291097884
2027.433153,8.8617098016,6.0714896609,6.1280019692,4.2152809615
2027.516478,8.9979816475,6.1981162601,6.2490806184,4.2968271572
2027.599803,9.1195087735,6.3157354781,6.3616136042,4.3739293433
2027.683128,9.2269718975,6.4246437807,6.4659091002,4.4467578621
2027.766453,9.3210328023,6.5251347612,6.5622680525,4.5154736601
2027.849778,9.4023341891,6.6174987526,6.6509843712,4.5802293084
2027.933104,9.4714995950,6.7020224551,6.7323450584,4.6411698552
2028.016429,9.5291333706,6.7789885864,6.8066302956,4.6984335449
2028.099754,9.5758207154,6.8486755588,6.8741135028,4.7521524293
2028.183079,9.6121277666,6.9113571861,6.9350613801,4.8024528901
2028.266404,9.6386017359,6.9673024203,6.9897339412,4.8494560895
2028.349729,9.6557710893,7.0167751190,7.0383845414,4.8932783604
2028.433054,9.6641457659,7.0600338427,7.0812599070,4.9340315478
2028.516379,9.6642174305,7.0973316804,7.1186001671,4.9718233075
2028.599705,9.6564597557,7.1289161029,7.1506388903,5.0067573712
2028.683030,9.6413287296,7.1550288414,7.1776031274,5.0389337803
2028.766355,9.6192629857,7.1759057915,7.1997134608,5.0684490964
