time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083331,77.9327644517,267.0528767710,101.2242694451,36.9666224822,63.5623443659,52.4551461084,146.6649980311,96.0828096877,96.0828096877,75.2484556996,48.2706931895
0.166663,83.9028822527,151.4334806576,95.9571248488,39.6964555966,61.2152422410,51.5471830575,125.2068699956,89.5780439876,89.5780439876,77.1619632215,53.2620192603
0.249994,82.3801777426,97.5769065871,86.2138656740,40.0209464361,54.0239868493,45.8180483935,104.1070596927,76.3740039027,76.3740039027,68.5276122249,51.3851385841
0.333326,77.7186333906,69.0777492190,75.9846658058,39.2327569971,46.5679809935,39.4897204217,86.1854713869,65.9264834943,65.9264834943,58.8809285913,47.2113199252
0.416657,71.7141106914,51.9781669035,66.4390571427,37.8491373977,39.8942300020,33.7626089097,71.4775574325,57.8224490331,57.8224490331,50.6546332353,42.4857116677
0.499989,65.2709424410,40.7152086416,57.9225204585,36.1400345632,34.1640475905,28.8951523412,59.5469501738,50.6301160722,50.6301160722,44.0523543894,37.9160207743
0.583320,58.8750175439,32.8754056478,50.4842368258,34.2643779406,29.3231896496,24.8406314455,49.9094805714,43.9274564551,43.9274564551,38.7213164343,33.7678657361
0.666652,52.7876756355,27.2193907446,44.0612736120,32.3217339443,25.2726691680,21.4731682367,42.1249265783,37.9598310960,37.9598310960,34.2978945567,30.1136765221
0.749983,47.1414675682,22.9869425338,38.5512404828,30.3764319048,21.9073609528,18.6657974145,35.8186998235,33.0037185216,33.0037185216,30.5353404838,26.9445079906
0.833315,41.9928010435,19.6799982554,33.8426644371,28.4704403397,19.1246915980,16.3124734708,30.6850550962,29.0935674085,29.0935674085,27.2944167857,24.2202060467
0.916646,37.3528085042,16.9852072996,29.8278472754,26.6308993311,16.8282135401,14.3297223138,26.4821521352,26.0517034346,26.0517034346,24.5011465204,21.8907958059
0.999978,33.2061585199,14.7211008593,26.4080424662,24.8748259727,14.9302046336,12.6522208436,23.0225256014,23.6178520370,23.6178520370,22.1077081809,19.9048563315
1.083309,29.5227679979,12.7895618307,23.4951486589,23.2121988654,13.3534862009,11.2278259402,20.1618283449,21.5543878984,21.5543878984,20.0677522329,18.2125814283
1.166641,26.2651558471,11.1368178641,21.0118122048,21.6480536711,12.0324394440,10.0138415162,17.7881611290,19.6961325488,19.6961325488,18.3272104068,16.7670652838
1.249972,23.3930446206,9.7281060043,18.8908282813,20.1839452632,10.9132876666,8.9747250489,15.8133300440,17.9571959910,17.9571959910,16.8265680974,15.5251860683
1.333303,20.8661930227,8.5346414316,17.0742682964,18.8189882820,9.9536694476,8.0808424722,14.1664111614,16.3143109522,16.3143109522,15.5085704334,14.4484192633
1.416635,18.6460797691,7.5287628295,15.5125374887,17.5506083428,9.1215178452,7.3077724842,12.7893591781,14.7814720805,14.7814720805,14.3258574716,13.5035076576
1.499966,16.6968395951,6.6832506591,14.1634546140,16.3750897445,8.3933534853,6.6357727555,11.6341226352,13.3859466646,13.3859466646,13.2451541671,12.6628403061
1.583298,14.9857145811,5.9721559903,12.9913894586,15.2879772351,7.7522317309,6.0491970611,10.6607227418,12.1514681256,12.1514681256,12.2471746187,11.9044564530
1.666629,13.4831955328,5.3717950812,11.9664670766,14.2843714762,7.1856649313,5.5358082761,9.8358816650,11.0899769019,11.0899769019,11.3233305684,11.2116831088
1.749961,12.1629701723,4.8614135001,11.0638364277,13.3591461322,6.6838247111,5.0860310115,9.1319445153,10.1998853453,10.1998853453,10.4711761187,10.5724853679
1.833292,11.0017562887,4.4234388385,10.2629979398,12.5071066234,6.2382290766,4.6922264755,8.5259690381,9.4677777346,9.4677777346,9.6903449235,9.9786419783
1.916624,9.9790719587,4.0433956041,9.5471851215,11.7231051532,5.8409812197,4.3480662287,7.9989390188,8.8713350714,8.8713350714,8.9799697286,9.4248597728
1.999955,9.0769772389,3.7095911147,8.9027972785,11.0021227967,5.4845007735,4.0480518740,7.5350958674,8.3826343473,8.3826343473,8.3377177189,8.9079211130
2.083287,8.2798096084,3.4126755846,8.3188823319,10.3393266988,5.1616063476,3.7871927454,7.1213915444,7.9716847518,7.9716847518,7.7599828251,8.4259302525
2.166618,7.5739271216,3.1451664400,7.7866701076,9.7301084460,4.8657800659,3.5608253164,6.7470594266,7.6099998797,7.6099998797,7.2425707950,7.9776960757
2.249950,6.9474675367,2.9010140800,7.2991570510,9.1701082032,4.5914619465,3.3645414278,6.4032888695,7.2736886447,7.2736886447,6.7813245804,7.5622648064
2.333281,6.3901278072,2.6752695479,6.8507431771,8.6552281217,4.3342664073,3.1941874741,6.0829806247,6.9454777804,6.9454777804,6.3724042829,7.1785987373
2.416612,5.8929657260,2.4638879891,6.4369213405,8.1816377022,4.0910660869,3.0459002997,5.7805565940,6.6153658430,6.6153658430,6.0122007217,6.8253856151
2.499944,5.4482238107,2.2636656811,6.0540178025,7.7457731740,3.8599351186,2.9161537899,5.4917987597,6.2800422916,6.2800422916,5.6970298654,6.5009569228
2.583275,5.0491744492,2.0722713839,5.6989818073,7.3443324815,3.6399770336,2.8017995101,5.2136972270,5.9415179798,5.9415179798,5.4228043511,6.2032906390
2.666607,4.6899846998,1.8883072873,5.3692206185,6.9742671030,3.4310795916,2.7000929079,4.9442943847,5.6054768783,5.6054768783,5.1848367299,5.9300739957
2.749938,4.3655988266,1.7113302816,5.0624753840,6.6327716481,3.2336422052,2.6087024594,4.6825195493,5.2797165062,5.2797165062,4.9778456908,5.6788034381
2.833270,4.0716365430,1.5417818121,4.7767323745,6.3172719644,3.0483154049,2.5257026152,4.4280148382,4.9728301939,4.9728301939,4.7961549410,5.4469018268
2.916601,3.8043049733,1.3808069707,4.5101636547,6.0254123151,2.8757805241,2.4495529495,4.1809576480,4.6931212285,4.6931212285,4.6340203631,5.2318364595
2.999933,3.5603224634,1.2299789494,4.2610911013,5.7550420591,2.7165852152,2.3790662748,3.9418876981,4.4476823599,4.4476823599,4.4860012762,5.0312253955
3.083264,3.3368525473,1.0909724322,4.0279678683,5.5042021622,2.5710391335,2.3133682767,3.7115472402,4.2416085309,4.2416085309,4.3472995763,4.8429235279
3.166596,3.1314465685,0.9652423096,3.8093718611,5.2711117904,2.4391654984,2.2518509436,3.4907420859,4.0773812940,4.0773812940,4.2140141658,4.6650836091
3.249927,2.9419936633,0.8537612887,3.6040064642,5.0541551699,2.3206986916,2.1941219183,3.2802290630,3.9545143115,3.9545143115,4.0832857555,4.4961907531
3.333259,2.7666770036,0.7568550281,3.4107045808,4.8518688540,2.2151153503,2.1399519408,3.0806328999,3.8695490748,3.8695490748,3.9533309153,4.3350716494
3.416590,2.6039353779,0.6741520723,3.2284329341,4.6629294938,2.1216860187,2.0892226900,2.8923928476,3.8164383469,3.8164383469,3.8233804969,4.1808817278
3.499922,2.4524293493,0.6046439099,3.0562944554,4.4861421840,2.0395356643,2.0418774408,2.7157369356,3.7872750004,3.7872750004,3.6935459631,4.0330747761
3.583253,2.3110113663,0.5468324491,2.8935274140,4.3204294254,1.9677036131,1.9978769169,2.5506798995,3.7732475989,3.7732475989,3.5646393153,3.8913600961
