time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.3514376997,0.0287539936,0.0063897764,0.0000000000,0.0000000000,0.1086261981,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083306,0.0607028754,0.4249201278,0.1054313099,0.0351437700,0.0191693291,0.0191693291,0.1853035144,0.0255591054,0.0255591054,0.0159744409,0.0127795527
0.166612,0.1405750799,0.4728434505,0.1597444089,0.0766773163,0.0575079872,0.0479233227,0.2364217252,0.0766773163,0.0766773163,0.0575079872,0.0319488818
0.249918,0.1821086262,0.5239616613,0.2108626198,0.0894568690,0.0670926518,0.0607028754,0.2555910543,0.0926517572,0.0926517572,0.0702875399,0.0638977636
0.333224,0.2460063898,0.5686900958,0.2364217252,0.1246006390,0.0734824281,0.0638977636,0.2779552716,0.1246006390,0.1246006390,0.0862619808,0.0702875399
0.416530,0.3258785942,0.6070287540,0.2587859425,0.1565495208,0.0990415335,0.0798722045,0.3099041534,0.1437699681,0.1437699681,0.1182108626,0.0830670927
0.499836,0.3769968051,0.6517571885,0.3099041534,0.1757188498,0.1214057508,0.1022364217,0.3546325879,0.1757188498,0.1757188498,0.1373801917,0.0958466454
0.583142,0.4185303514,0.6741214058,0.3258785942,0.2044728435,0.1309904153,0.1150159744,0.3897763578,0.1980830671,0.1980830671,0.1597444089,0.1086261981
0.666448,0.4536741214,0.6869009585,0.3418530351,0.2268370607,0.1501597444,0.1214057508,0.4121405751,0.2172523962,0.2172523962,0.1725239617,0.1150159744
0.749754,0.4856230032,0.7188498403,0.3610223642,0.2332268371,0.1533546326,0.1341853035,0.4472843450,0.2332268371,0.2332268371,0.1725239617,0.1341853035
0.833060,0.5079872204,0.7220447284,0.3738019169,0.2396166134,0.1597444089,0.1341853035,0.4632587859,0.2428115016,0.2428115016,0.1789137380,0.1437699681
0.916366,0.5239616613,0.7444089457,0.3897763578,0.2492012780,0.1629392971,0.1341853035,0.4824281150,0.2460063898,0.2460063898,0.1916932907,0.1437699681
0.999672,0.5495207668,0.7507987220,0.4313099042,0.2715654952,0.1821086262,0.1373801917,0.4952076677,0.2651757188,0.2651757188,0.2076677316,0.1501597444
1.082978,0.5686900958,0.7635782748,0.4440894569,0.2843450479,0.1916932907,0.1469648562,0.5143769968,0.2779552716,0.2779552716,0.2204472843,0.1661341853
1.166284,0.5910543131,0.7667731629,0.4664536741,0.3003194888,0.2044728435,0.1597444089,0.5367412141,0.2907348243,0.2907348243,0.2332268371,0.1725239617
1.249590,0.6102236422,0.7699680511,0.4824281150,0.3130990415,0.2140575080,0.1661341853,0.5559105431,0.3130990415,0.3130990415,0.2428115016,0.1884984026
