time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0034263832,0.3688400685,0.0546205785,0.0046356949,0.0008062078,0.0000000000,0.1200241862,0.0010077598,0.0010077598,0.0000000000,0.0000000000
0.083331,0.1356444624,0.4766703618,0.1753501965,0.0843494911,0.0616748967,0.0512949713,0.2422654439,0.0706439585,0.0706439585,0.0591554973,0.0454499647
0.166663,0.2462964829,0.5453995767,0.2510329537,0.1445127482,0.1108535725,0.0940239847,0.3143202660,0.1337297188,0.1337297188,0.1159931472,0.0921092412
0.249994,0.3285296785,0.5947798045,0.3091806913,0.1886526252,0.1412879170,0.1222412577,0.3730726595,0.1790789076,0.1790789076,0.1544895697,0.1282878162
0.333326,0.3911115590,0.6330746750,0.3521112567,0.2209009372,0.1692028620,0.1437065404,0.4201350398,0.2165675703,0.2165675703,0.1877456414,0.1549934496
0.416657,0.4424065303,0.6665322987,0.3903053512,0.2473042427,0.1893580570,0.1612415600,0.4590345662,0.2484127784,0.2484127784,0.2138466190,0.1765595082
0.499989,0.4864456314,0.6941449159,0.4233598710,0.2729013403,0.2073969566,0.1764587322,0.4911821022,0.2786455709,0.2786455709,0.2391413887,0.1957069435
0.583320,0.5217172226,0.7166179583,0.4517786960,0.2950720548,0.2229164567,0.1874433135,0.5209110148,0.3026302529,0.3026302529,0.2603043434,0.2113272196
0.666652,0.5545701905,0.7352615137,0.4779804495,0.3143202660,0.2383351809,0.1991333266,0.5449964728,0.3255063993,0.3255063993,0.2793510027,0.2249319762
0.749983,0.5802680641,0.7525949814,0.4999496120,0.3297389902,0.2506298498,0.2109241157,0.5671671873,0.3454600423,0.3454600423,0.2967852464,0.2412576842
0.833315,0.6026403305,0.7665020659,0.5196009271,0.3436460748,0.2613121032,0.2183815378,0.5861130706,0.3624911821,0.3624911821,0.3134132823,0.2533508012
0.916646,0.6242063892,0.7801068225,0.5380429306,0.3546306561,0.2707850448,0.2271490477,0.6047566260,0.3796230979,0.3796230979,0.3271188149,0.2634283987
0.999978,0.6442608082,0.7909906278,0.5533608788,0.3671268770,0.2790486748,0.2354126776,0.6210823340,0.3952433740,0.3952433740,0.3407235715,0.2751184118
1.083309,0.6620981558,0.8010682253,0.5669656354,0.3778091303,0.2884208405,0.2431724277,0.6357956263,0.4090496826,0.4090496826,0.3529174645,0.2845913534
1.166641,0.6769122241,0.8099365111,0.5797641842,0.3880882798,0.2959790386,0.2486143303,0.6497027109,0.4227552152,0.4227552152,0.3647082536,0.2943666230
1.249972,0.6914239645,0.8165877255,0.5942759246,0.3989720851,0.3015217172,0.2539554570,0.6612919480,0.4354529880,0.4354529880,0.3760959387,0.3016224932
1.333303,0.7040209614,0.8236420437,0.6058651617,0.4078403709,0.3088783634,0.2591958077,0.6710672176,0.4479492089,0.4479492089,0.3861735362,0.3108938829
1.416635,0.7151063187,0.8284792905,0.6158419833,0.4162047768,0.3142194901,0.2638315026,0.6818502469,0.4586314623,0.4586314623,0.3975612214,0.3175450972
1.499966,0.7251839162,0.8355336088,0.6247102691,0.4239645269,0.3208707044,0.2671571097,0.6898115489,0.4680036279,0.4680036279,0.4046155397,0.3247001915
1.583298,0.7348584098,0.8418824952,0.6322684672,0.4315227250,0.3268164869,0.2712889247,0.6999899224,0.4767711378,0.4767711378,0.4121737378,0.3315529578
1.666629,0.7422150559,0.8470220699,0.6399274413,0.4388793712,0.3326614935,0.2761261715,0.7085558803,0.4856394236,0.4856394236,0.4197319359,0.3382041721
1.749961,0.7514864456,0.8521616447,0.6478887433,0.4451274816,0.3368940845,0.2796533306,0.7158117505,0.4951123652,0.4951123652,0.4269878061,0.3442507306
1.833292,0.7593469717,0.8558903557,0.6552453895,0.4510732641,0.3411266754,0.2831804898,0.7237730525,0.5036783231,0.5036783231,0.4352514361,0.3505996171
1.916624,0.7676106016,0.8598206188,0.6626020357,0.4569182707,0.3442507306,0.2876146327,0.7311296987,0.5110349693,0.5110349693,0.4416003225,0.3561422957
1.999955,0.7738587121,0.8639524337,0.6704625617,0.4624609493,0.3481809937,0.2900332561,0.7370754812,0.5189962713,0.5189962713,0.4475461050,0.3608787665
2.083287,0.7803083745,0.8675803688,0.6779199839,0.4670966442,0.3516073768,0.2922503275,0.7442305754,0.5253451577,0.5253451577,0.4537942155,0.3668245490
2.166618,0.7860526051,0.8723168397,0.6834626625,0.4717323390,0.3553360879,0.2950720548,0.7511841177,0.5316940441,0.5316940441,0.4596392220,0.3723672277
2.249950,0.7905875239,0.8770533105,0.6894084450,0.4774765696,0.3595686788,0.2980953341,0.7569283483,0.5395545702,0.5395545702,0.4655850045,0.3764990426
2.333281,0.7958278746,0.8810843495,0.6940441399,0.4824145924,0.3624911821,0.3002116295,0.7617655951,0.5465081125,0.5465081125,0.4715307871,0.3816386174
2.416612,0.8002620175,0.8834021969,0.6990829386,0.4879572710,0.3671268770,0.3034364607,0.7678121536,0.5521515671,0.5521515671,0.4763680339,0.3860727603
2.499944,0.8033860728,0.8850146125,0.7032147536,0.4921898619,0.3697470523,0.3065605160,0.7722462965,0.5581981256,0.5581981256,0.4812052807,0.3893983674
2.583275,0.8070140079,0.8878363398,0.7080520004,0.4958177970,0.3740804192,0.3084752595,0.7764788874,0.5635392522,0.5635392522,0.4856394236,0.3942356142
2.666607,0.8109442709,0.8897510833,0.7115791595,0.4997480601,0.3771036985,0.3112969868,0.7807114784,0.5688803789,0.5688803789,0.4896704626,0.3977627734
2.749938,0.8145722060,0.8918673788,0.7159125265,0.5038798750,0.3799254258,0.3130101784,0.7843394135,0.5727098660,0.5727098660,0.4943061574,0.4014914844
2.833270,0.8185024690,0.8946891061,0.7201451174,0.5076085861,0.3821424972,0.3155295777,0.7876650207,0.5783533206,0.5783533206,0.4981356445,0.4034062280
2.916601,0.8224327320,0.8975108334,0.7248815882,0.5107326413,0.3849642245,0.3171419933,0.7918976116,0.5832913433,0.5832913433,0.5012596997,0.4066310592
2.999933,0.8253552353,0.8993248010,0.7291141792,0.5141590245,0.3876851759,0.3188551849,0.7967348584,0.5886324700,0.5886324700,0.5050891867,0.4097551144
3.083264,0.8274715308,0.9006348886,0.7321374584,0.5177869596,0.3902045752,0.3202660486,0.8001612416,0.5923611811,0.5923611811,0.5083140179,0.4133830495
3.166596,0.8293862743,0.9025496322,0.7360677215,0.5199032551,0.3927239746,0.3222815681,0.8041922806,0.5959891162,0.5959891162,0.5118411771,0.4182202963
