time_decimal_year,AI2027-SC,AIR-5x,AIR-25x,AIR-250x,AIR-2000x,AIR-10000x,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill,STRAT-AI,TED-AI,ASI
0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.083331,102.3790575328,248.5232795540,69.2558130856,21.5850622526,10.9061991702,29.6158095411,101.6846743394,23.0002681536,23.0002681536,45.2367219175,28.9990964870
0.166663,102.1097482850,128.2865047436,67.7279303317,23.2495929022,11.7039349280,30.6054297430,90.4818435323,25.4666825842,25.4666825842,47.5487653556,32.0156116851
0.249994,91.0322510414,77.9072391635,63.1073556173,23.7940328099,12.0708607404,28.9002898672,78.3747764283,26.4808372005,26.4808372005,44.3582190903,31.6347067307
0.333326,78.3811032280,54.4794076920,57.6788353890,23.8081188814,12.2336203522,26.3698327604,67.4719529863,26.7846270024,26.7846270024,39.8474462486,29.9304948350
0.416657,66.8201390489,41.8708680450,52.2384257380,23.5175131160,12.2748805637,23.6965435517,58.1425905739,26.6685295301,26.6685295301,35.3948204477,27.7392512188
0.499989,56.9923688027,34.0021688133,47.1085250259,23.0379898835,12.2358452719,21.1572443114,50.3100384572,26.2844412577,26.2844412577,31.4337378320,25.4504909118
0.583320,48.8686112582,28.4903671695,42.4140586617,22.4381188394,12.1405929691,18.8561619630,43.7768538485,25.7238206572,25.7238206572,28.0444519489,23.2488594586
0.666652,42.2162077922,24.3211574313,38.1882625697,21.7620403929,12.0046326385,16.8192649685,38.3301518054,25.0464049364,25.0464049364,25.1811431353,21.2161618226
0.749983,36.7675693228,21.0092772208,34.4204485590,21.0396894927,11.8386272969,15.0375165184,33.7769575855,24.2932435098,24.2932435098,22.7625383324,19.3810216045
0.833315,32.2789755843,18.2952007044,31.0795453179,20.2920597595,11.6502553598,13.4876647913,29.9538244243,23.4934823867,23.4934823867,20.7068304728,17.7447936118
0.916646,28.5478897159,16.0296283886,28.1262215856,19.5341898626,11.4452373934,12.1422504006,26.7266473696,22.6682546049,22.6682546049,18.9434965213,16.2955220426
0.999978,25.4141039110,14.1224750004,25.5192106780,18.7769843920,11.2279459791,10.9742383969,23.9870350205,21.8330772528,21.8330772528,17.4157634507,15.0155207161
1.083309,22.7545669339,12.5152647477,23.2185541112,18.0283874017,11.0017895127,9.9589558767,21.6478801567,20.9994118212,20.9994118212,16.0795224257,13.8854439141
1.166641,20.4761404237,11.1645995623,21.1871675885,17.2941724824,10.7694652230,9.0747072618,19.6391927480,20.1757245376,20.1757245376,14.9010993482,12.8864001635
1.249972,18.5083536051,10.0331368120,19.3914859710,16.5784935496,10.5331324594,8.3027737467,17.9045608646,19.3682319123,19.3682319123,13.8548698395,12.0009736194
1.333303,16.7971879094,9.0861165306,17.8016065864,15.8842798015,10.2945352171,7.6271555685,16.3982971875,18.5814394726,18.5814394726,12.9211217721,11.2136415118
1.416635,15.3002942134,8.2912387545,16.3911670190,15.2135255194,10.0550911396,7.0342328938,15.0832024281,17.8185397288,17.8185397288,12.0843192227,10.5108646388
1.499966,13.9836342031,7.6197210990,15.1370912243,14.5675067448,9.8159576802,6.5124260337,13.9288361676,17.0817114450,17.0817114450,11.3318021646,9.8810074173
1.583298,12.8192993430,7.0470639168,14.0192796673,13.9469458031,9.5780822749,6.0518875786,12.9101840820,16.3723479655,16.3723479655,10.6528902676,9.3141751854
1.666629,11.7841682028,6.5530142432,13.0202857808,13.3521378123,9.3422410563,5.6442358201,12.0066251895,15.6912334571,15.6912334571,10.0383221755,8.8020173291
1.749961,10.8590758882,6.1209473875,12.1250017347,12.7830489638,9.1090691830,5.2823285158,11.2011222291,15.0386802251,15.0386802251,9.4799454709,8.3375228002
1.833292,10.0282423419,5.7371456356,11.3203653357,12.2393935051,8.8790849187,4.9600722087,10.4795771221,14.4146364920,14.4146364920,8.9705724044,7.9148223460
1.916624,9.2787986665,5.3903265450,10.5950934175,11.7206944307,8.6527089772,4.6722615110,9.8303094216,13.8187714736,13.8187714736,8.5039274245,7.5290050078
1.999955,8.6003339373,5.0714930382,9.9394433740,11.2263315630,8.4302802261,4.4144432553,9.2436281098,13.2505428162,13.2505428162,8.0746295903,7.1759526919
2.083287,7.9844446556,4.7739562411,9.3450023974,10.7555797727,8.2120685538,4.1828013159,8.7114762325,12.7092502007,12.7092502007,7.6781717280,6.8521944620
2.166618,7.4243019755,4.4933153676,8.8045028375,10.3076394219,7.9982855002,3.9740588078,8.2271342213,12.1940780176,12.1940780176,7.3108755435,6.5547809005
2.249950,6.9142624943,4.2272471115,8.3116615246,9.8816606275,7.7890931039,3.7853951184,7.7849719583,11.7041293511,11.7041293511,6.9698159326,6.2811780328
