milestone_name,num_achieved,num_not_achieved,total_rollouts,achievement_rate_pct,mode,p10,p50,p90
AI2027-SC,9224,699,9923,92.96,0.0833,0.0621,0.5302,9.6481
AIR-5x,9874,49,9923,99.51,0.0833,0.0000,0.1078,3.0129
AIR-25x,9552,371,9923,96.26,0.0833,0.0200,0.7503,18.2911
AIR-250x,8380,1543,9923,84.45,0.3333,0.1009,2.6703,1000000.0000
AIR-2000x,7046,2877,9923,71.01,0.4167,0.1465,10.3210,1000000.0000
AIR-10000x,6080,3843,9923,61.27,0.1667,0.1807,30.8321,1000000.0000
SAR-level-experiment-selection-skill,9891,32,9923,99.68,0.0833,0.0000,0.5241,7.6466
SIAR-level-experiment-selection-skill,9783,140,9923,98.59,0.3333,0.1207,1.8003,26.7263
STRAT-AI,9783,140,9923,98.59,0.3333,0.1207,1.8003,26.7263
TED-AI,9486,437,9923,95.60,0.1667,0.1435,2.8781,63.3985
ASI,9259,664,9923,93.31,0.1667,0.1798,6.0243,103.0562
